Date,Open,High,Low,Close,Adj Close,Volume
2003-04-28,42.680000,43.500000,42.669998,43.169998,28.773836,75900
2003-04-29,43.349998,43.689999,43.049999,43.610001,29.067114,78700
2003-04-30,44.750000,45.400002,44.400002,45.279999,30.180204,192400
2003-05-01,44.599998,45.080002,44.500000,44.709999,29.800289,81700
2003-05-02,44.709999,45.400002,44.650002,45.299999,30.193527,138600
2003-05-05,47.500000,47.500000,46.000000,46.299999,30.860050,408200
2003-05-06,46.880001,47.500000,46.700001,47.150002,31.426605,351200
2003-05-07,47.500000,47.889999,47.349998,47.529999,31.679884,273000
2003-05-08,47.150002,47.189999,46.680000,46.779999,31.179987,230400
2003-05-09,47.250000,47.290001,46.950001,47.220001,31.473263,109700
2003-05-12,47.220001,47.689999,47.220001,47.419998,31.606562,66600
2003-05-13,47.080002,47.180000,46.759998,46.840000,31.219978,101900
2003-05-14,46.840000,46.880001,46.450001,46.500000,30.993374,60600
2003-05-15,46.200001,46.580002,46.150002,46.150002,30.760080,60200
2003-05-16,46.400002,46.400002,45.849998,45.950001,30.626778,42900
2003-05-19,45.900002,46.099998,45.509998,45.529999,30.346838,107500
2003-05-20,45.900002,46.400002,45.900002,46.090000,30.720085,85300
2003-05-21,45.950001,45.950001,45.650002,45.650002,30.426811,28600
2003-05-22,45.509998,45.919998,45.389999,45.799999,30.526798,57800
2003-05-23,45.880001,46.189999,45.880001,46.000000,30.660105,47600
2003-05-27,45.020000,45.759998,45.020000,45.700001,30.460146,99300
2003-05-28,45.049999,45.450001,44.980000,45.180000,30.113552,134500
2003-05-29,45.650002,46.349998,45.580002,46.040001,30.686769,125900
2003-05-30,47.599998,47.740002,47.380001,47.680000,31.779860,162800
2003-06-02,48.000000,48.700001,48.000000,48.400002,32.259777,140500
2003-06-03,48.549999,48.770000,48.380001,48.450001,32.293087,62500
2003-06-04,49.049999,49.930000,48.759998,49.889999,33.252872,143100
2003-06-05,49.990002,50.540001,49.799999,50.220001,33.472836,85400
2003-06-06,51.049999,51.450001,50.549999,50.549999,33.692783,90500
2003-06-09,51.599998,51.790001,51.349998,51.669998,34.439285,155000
2003-06-10,51.669998,52.189999,51.619999,52.020000,34.672581,67600
2003-06-11,52.099998,53.070000,51.980000,52.970001,35.305775,205300
2003-06-12,53.220001,53.220001,52.689999,52.880001,35.245796,63000
2003-06-13,52.369999,52.369999,51.509998,51.880001,34.579266,49300
2003-06-16,51.779999,52.299999,51.660000,52.299999,34.859203,49000
2003-06-17,52.549999,53.189999,52.549999,52.820000,35.205795,121600
2003-06-18,52.700001,53.000000,52.650002,52.849998,35.225796,29700
2003-06-19,52.950001,53.189999,52.799999,52.860001,35.232449,53300
2003-06-20,53.049999,53.500000,53.049999,53.259998,35.499069,48900
2003-06-23,53.750000,53.750000,52.820000,53.080002,35.379089,71600
2003-06-24,51.799999,51.869999,51.369999,51.400002,34.259335,95000
2003-06-25,51.599998,51.700001,51.310001,51.400002,34.259335,146300
2003-06-26,51.599998,52.000000,51.599998,51.900002,34.592598,53100
2003-06-27,51.900002,52.270000,51.869999,52.029999,34.679249,37300
2003-06-30,52.150002,52.240002,51.700001,51.799999,34.525940,60400
2003-07-01,52.090000,52.230000,51.450001,52.230000,34.812546,70500
2003-07-02,52.980000,53.939999,52.650002,53.750000,35.825661,89800
2003-07-03,54.099998,54.650002,54.099998,54.310001,36.198910,61500
2003-07-07,55.750000,56.889999,55.700001,56.599998,37.725258,156200
2003-07-08,56.680000,57.400002,56.680000,57.380001,38.245144,105000
2003-07-09,58.779999,59.490002,58.720001,58.950001,39.291580,143000
2003-07-10,58.200001,58.240002,57.799999,57.919998,38.605068,79700
2003-07-11,55.779999,57.000000,55.500000,56.020000,37.338673,225900
2003-07-14,55.400002,56.200001,55.400002,55.639999,37.085388,178600
2003-07-15,55.000000,55.080002,54.320000,54.380001,36.245571,162000
2003-07-16,53.750000,53.750000,52.750000,53.349998,35.559044,103700
2003-07-17,52.700001,52.700001,52.099998,52.220001,34.805889,77600
2003-07-18,52.000000,53.400002,52.000000,53.400002,35.592369,121600
2003-07-21,52.599998,52.799999,52.049999,52.259998,34.832546,67000
2003-07-22,52.259998,52.889999,52.090000,52.500000,34.992504,63300
2003-07-23,52.250000,52.799999,52.250000,52.650002,35.092491,134100
2003-07-24,52.650002,52.830002,52.250000,52.270000,34.839211,79000
2003-07-25,52.520000,52.799999,52.000000,52.790001,35.185802,72100
2003-07-28,52.549999,52.549999,52.150002,52.380001,34.912525,66600
2003-07-29,51.700001,51.869999,51.000000,51.250000,34.159355,85800
2003-07-30,51.000000,51.099998,50.650002,50.820000,33.872753,56800
2003-07-31,50.900002,51.889999,50.799999,51.299999,34.192684,137800
2003-08-01,50.599998,51.000000,50.299999,50.599998,33.726116,131100
2003-08-04,50.090000,50.290001,49.650002,50.080002,33.379524,138500
2003-08-05,50.419998,50.950001,50.299999,50.299999,33.526154,84200
2003-08-06,50.900002,51.820000,50.849998,51.450001,34.292656,215200
2003-08-07,51.900002,52.270000,51.650002,52.180000,34.779221,211400
2003-08-08,51.410000,51.599998,51.230000,51.450001,34.292656,58800
2003-08-11,52.000000,52.369999,52.000000,52.250000,34.825878,35100
2003-08-12,52.049999,52.240002,51.750000,52.200001,34.792557,42300
2003-08-13,53.200001,53.700001,53.049999,53.299999,35.525730,60000
2003-08-14,54.500000,55.689999,54.299999,55.630001,37.078735,549200
2003-08-15,55.299999,55.950001,55.000000,55.419998,36.938763,98500
2003-08-18,55.049999,55.470001,55.049999,55.279999,36.845448,131600
2003-08-19,55.049999,55.400002,54.919998,55.299999,36.858776,96000
2003-08-20,55.779999,56.000000,55.520000,55.660000,37.098728,42400
2003-08-21,57.700001,58.200001,57.419998,57.549999,38.358456,81200
2003-08-22,56.200001,56.900002,55.869999,55.930000,37.278683,60000
2003-08-25,55.240002,55.669998,55.150002,55.450001,36.958759,48600
2003-08-26,55.500000,55.980000,55.490002,55.830002,37.212029,35600
