Date,Open,High,Low,Close,Adj Close,Volume
2005-08-11,45.089607,45.232975,44.964157,45.161289,27.187622,1692700
2005-08-12,44.605736,45.017921,44.596775,44.928314,27.047369,1499700
2005-08-15,44.265232,44.408604,44.193550,44.327957,26.685944,1296300
2005-08-16,44.507168,44.534050,44.193550,44.301075,26.669760,1076000
2005-08-17,44.596775,44.775986,44.534050,44.569893,26.831594,751000
2005-08-18,43.978493,44.130825,43.799282,43.942654,26.453987,1250500
2005-08-19,44.166668,44.283154,43.942654,43.960575,26.464775,506300
2005-08-22,44.014336,44.238350,43.727600,43.906811,26.432411,708400
2005-08-23,43.566307,43.629032,43.261650,43.288532,26.060198,759500
2005-08-24,43.422939,43.440861,43.082436,43.181004,25.995468,1044700
2005-08-25,43.225807,43.405018,43.127239,43.288532,26.060198,645100
2005-08-26,43.136200,43.163082,42.688171,42.741936,25.731142,947900
2005-08-29,42.974911,43.181004,42.840504,43.046597,25.914555,563300
2005-08-30,42.732975,42.903225,42.598568,42.840504,25.790482,812300
2005-08-31,43.046597,43.691757,43.019714,43.682796,26.297550,1353400
2005-09-01,43.862007,44.247311,43.817204,44.077061,26.534904,1414100
2005-09-02,44.247311,44.318996,43.960575,43.996414,26.486359,797000
2005-09-06,44.202511,44.336918,44.050179,44.157707,26.583456,565500
2005-09-07,43.951614,44.381721,43.942654,44.220428,26.621210,743800
2005-09-08,44.077061,44.139786,43.879929,44.068100,26.529512,771400
2005-09-09,44.345879,44.516129,44.211468,44.426525,26.745293,821000
2005-09-12,44.175629,44.426525,44.103943,44.283154,26.658974,692100
2005-09-13,44.112904,44.157707,43.817204,44.014336,26.497143,1087200
2005-09-14,44.256271,44.453403,44.256271,44.363800,26.707527,2030000
2005-09-15,44.086021,44.354839,44.068100,44.247311,26.637396,2153500
2005-09-16,44.498207,44.534050,44.238350,44.426525,26.745293,574600
2005-09-19,44.166668,44.166668,43.736561,43.826164,26.383860,769100
2005-09-20,43.772400,44.462364,43.745522,44.077061,26.534904,1102300
2005-09-21,44.354839,44.480286,44.130825,44.220428,26.621210,1475000
2005-09-22,44.175629,44.220428,43.942654,44.130825,26.567270,1612300
2005-09-23,44.399643,44.775986,44.399643,44.543011,26.815416,878200
2005-09-26,44.838711,44.892471,44.543011,44.874554,27.015003,877500
2005-09-27,44.650539,44.820789,44.578854,44.802868,26.971848,1720600
2005-09-28,44.946236,45.188171,44.919353,45.035843,27.112104,2502700
2005-09-29,44.865593,45.385303,44.811829,45.224014,27.225388,1484500
2005-09-30,45.224014,45.788532,45.080647,45.698925,27.511288,2041900
2005-10-03,46.075268,46.254478,45.922939,45.958782,27.667727,1075600
2005-10-04,45.698925,45.931900,45.591396,45.600357,27.451941,1129800
2005-10-05,45.940861,46.209679,45.770611,45.824371,27.586807,1084800
2005-10-06,45.985664,46.594982,45.842293,46.075268,27.737850,1529800
2005-10-07,46.397850,46.621864,46.308243,46.514336,28.002171,1924000
2005-10-10,46.594982,46.792114,46.478493,46.612904,28.061514,1182700
2005-10-11,46.317204,46.370968,46.057346,46.263439,27.851126,1831900
2005-10-12,46.594982,46.621864,46.137993,46.317204,27.883493,1945400
2005-10-13,45.582436,46.281361,45.465950,46.129032,27.770212,2238100
2005-10-14,46.030464,46.218639,45.940861,46.120071,27.764820,1639700
2005-10-17,45.465950,46.066307,45.421146,46.066307,27.732458,1837300
2005-10-18,46.774193,48.028675,46.639786,47.750896,28.746595,5198300
2005-10-19,47.356632,48.252689,47.186378,48.136200,28.978556,4371400
2005-10-20,47.356632,48.082436,47.347672,47.670250,28.698036,3165100
2005-10-21,47.724014,47.894264,47.034050,47.069893,28.336626,2293000
